"","AcadYr","AcadTerm","DepartmentNameByCourseCode","Course number","CourseCode","SectionNumber","CourseTitle","ClassType","Instructor1Name","GradeACount","GradeBCount","GradeCCount","GradeDCount","GradeFCount","GradePCount","GradeNPCount","GradeWCount"
"139","2010-11","Fall","Biological Sciences",199,6985,"85","BIOLOGY OF AGING","RES","Rose M.",36,0,0,0,0,0,0,0
"140","2010-11","Fall","Biological Sciences",199,7126,"26","STRUCT & DRUG DESIG","RES","Tsai S.",10,0,0,0,0,0,0,0
"141","2010-11","Fall","Biological Sciences",199,7197,"97","NEUROBIO & MEMORY","RES","Wood M.",13,0,0,0,0,0,0,0
"142","2010-11","Fall","Biological Sciences",199,7415,"15","PSYCHIATRY","RES","Bunney W.",11,0,0,0,0,0,0,0
"143","2010-11","Fall","Biological Sciences",199,7461,"61","AUTISM & ADHD","RES","Lakes K.",23,0,0,0,0,0,0,0
"144","2010-11","Fall","Biological Sciences",199,7467,"67","EMERGENCY MEDICINE","RES","Lotfipour S.",20,0,0,0,0,0,0,0
"145","2010-11","Fall","Biological Sciences",199,7515,"15","ADHD RESEARCH","RES","Wigal T.",16,0,0,0,0,0,0,0
"146","2010-11","Fall","Biomedical Engineering",110,14010,"A","BIOMECHANICS I","LEC","Botvinick E.",34,36,44,15,5,0,1,2
"147","2010-11","Fall","Biomedical Engineering",120,14020,"A","SENSORY MOTOR SYS","LEC","Keyak J.",42,63,25,4,0,0,0,0
"148","2010-11","Fall","Biomedical Engineering",130,14030,"A","BIOMED SIGNALS SYS","LEC","Nenadic Z.",19,73,24,3,2,0,0,0
"149","2010-11","Fall","Biomedical Engineering",135,14040,"A","PHOTOMEDICINE","LEC","Berns M.",14,44,20,1,0,0,0,1
"150","2010-11","Fall","Biomedical Engineering",160,14050,"A","TISSUE ENGINEERING","LEC","Hui E.",44,39,21,2,0,0,0,0
"151","2010-11","Fall","Biomedical Engineering",180,14060,"A","BME ENGR DESIGN","LEC","Tang W.",36,24,3,0,0,0,0,0
"152","2010-11","Fall","Biomedical Engineering",197,14070,"A","SEM IN BIOMED ENGR","SEM","Botvinick E.",11,0,0,0,0,0,0,0
"153","2010-11","Fall","Chemical Engineering and Materials Science",45,15000,"A","CHEM PROC & MAT BAL","LEC","Da Silva N.",11,13,15,3,10,1,1,0
"154","2010-11","Fall","Chemical Engineering and Materials Science",110,15020,"A","REACTION KINETICS","LEC","Da Silva N.",13,15,11,5,3,0,0,0
"155","2010-11","Fall","Chemical Engineering and Materials Science",125,15025,"A","MOMENTUM TRANSFER","LEC","Venugopalan V.",7,24,13,0,5,0,0,0
"156","2010-11","Fall","Chemical Engineering and Materials Science",135,15030,"A","CHEM PROCESS CONTRL","LEC","Nguyen H.",11,18,1,0,0,0,0,0
"157","2010-11","Fall","Chemical Engineering and Materials Science",154,15035,"A","POLYMER SCI & ENGR","LEC","Yee A.",5,13,7,0,0,0,0,1
"158","2010-11","Fall","Chemical Engineering and Materials Science",164,15040,"A","XRD SEM &MICROANLYS","LEC","Porter J.",6,8,6,0,3,1,0,0
"159","2010-11","Fall","Chemical Engineering and Materials Science",199,15208,"E","INDIVIDUAL STUDY","TUT","Mohamed F.",16,0,0,0,0,0,0,0
"160","2010-11","Fall","Chemistry",1,40000,"A","GENERAL CHEMISTRY","LEC","Janda K.",79,114,157,34,10,0,0,0
"161","2010-11","Fall","Chemistry",1,40015,"B","GENERAL CHEMISTRY","LEC","Arasasingham R.",76,132,121,18,49,0,2,0
"162","2010-11","Fall","Chemistry",1,40030,"C","GENERAL CHEMISTRY","LEC","Borovik A.",58,141,119,15,15,0,0,1
"163","2010-11","Fall","Chemistry",1,40050,"D","GENERAL CHEMISTRY","LEC","Arasasingham R.",65,134,137,14,43,1,2,3
"164","2010-11","Fall","Chemistry",1,40070,"E","GENERAL CHEMISTRY","LEC","Hafensteiner B.",63,93,81,17,41,0,0,1
"165","2010-11","Fall","Chemistry",1,40092,"1","ACCEL GEN CHEM LAB","LAB","Edwards K.",3,10,2,0,0,0,0,0
"166","2010-11","Fall","Chemistry",1,40093,"2","ACCEL GEN CHEM LAB","LAB","Edwards K.",4,9,1,0,0,0,0,0
"167","2010-11","Fall","Chemistry",1,40097,"3","ACCEL GEN CHEM LAB","LAB","Edwards K.",3,8,4,0,0,0,0,0
"168","2010-11","Fall","Chemistry",1,40098,"4","ACCEL GEN CHEM LAB","LAB","Edwards K.",6,10,2,0,0,0,0,0
"169","2010-11","Fall","Chemistry",1,40099,"5","ACCEL GEN CHEM LAB","LAB","Edwards K.",6,9,4,0,0,0,0,0
"170","2010-11","Fall","Chemistry",1,40100,"6","ACCEL GEN CHEM LAB","LAB","Edwards K.",1,12,2,1,1,0,0,0
"171","2010-11","Fall","Chemistry",1,40160,"A","GENERAL CHEMISTRY","LEC","Andricioaei I.",67,116,115,31,14,1,1,2
"172","2010-11","Fall","Chemistry",1,40174,"1","GENRL CHEMISTRY LAB","LAB","Edwards K.",8,11,4,0,1,0,0,0
"173","2010-11","Fall","Chemistry",1,40175,"2","GENRL CHEMISTRY LAB","LAB","Edwards K.",5,9,7,1,0,0,0,0
"174","2010-11","Fall","Chemistry",1,40177,"4","GENRL CHEMISTRY LAB","LAB","Edwards K.",7,14,3,0,0,0,0,0
"175","2010-11","Fall","Chemistry",1,40178,"5","GENRL CHEMISTRY LAB","LAB","Edwards K.",7,14,1,2,0,0,0,0
"176","2010-11","Fall","Chemistry",1,40179,"6","GENRL CHEMISTRY LAB","LAB","Edwards K.",5,17,1,0,0,0,0,0
"177","2010-11","Fall","Chemistry",1,40180,"7","GENRL CHEMISTRY LAB","LAB","Edwards K.",4,17,2,0,0,0,0,1
"178","2010-11","Fall","Chemistry",1,40181,"8","GENRL CHEMISTRY LAB","LAB","Edwards K.",3,13,5,0,0,0,0,1
"179","2010-11","Fall","Chemistry",1,40182,"9","GENRL CHEMISTRY LAB","LAB","Edwards K.",6,11,4,0,0,0,0,0
"180","2010-11","Fall","Chemistry",1,40184,"10","GENRL CHEMISTRY LAB","LAB","Edwards K.",5,16,2,0,0,0,0,0
"181","2010-11","Fall","Chemistry",1,40186,"11","GENRL CHEMISTRY LAB","LAB","Edwards K.",4,15,2,2,0,0,0,0
"182","2010-11","Fall","Chemistry",1,40188,"12","GENRL CHEMISTRY LAB","LAB","Edwards K.",3,12,5,3,0,0,0,0
"183","2010-11","Fall","Chemistry",1,40190,"13","GENRL CHEMISTRY LAB","LAB","Edwards K.",8,15,1,0,0,0,0,0
"184","2010-11","Fall","Chemistry",1,40240,"A","PREP GEN CHEMISTRY","LEC","Potma E.",99,88,79,34,4,2,5,0
"185","2010-11","Fall","Chemistry",2,40111,"1","MAJORS GEN CHEM LAB","LAB","Edwards K.",8,7,4,0,0,0,0,0
"186","2010-11","Fall","Chemistry",2,40113,"3","MAJORS GEN CHEM LAB","LAB","Edwards K.",4,11,1,1,0,0,0,0
"187","2010-11","Fall","Chemistry",2,40114,"4","MAJORS GEN CHEM LAB","LAB","Edwards K.",7,9,3,0,0,0,0,1
"188","2010-11","Fall","Chemistry",2,40116,"6","MAJORS GEN CHEM LAB","LAB","Edwards K.",6,9,0,1,0,0,0,0
"189","2010-11","Fall","Chemistry",2,40270,"A","HON GENRL CHEMISTRY","LEC","Corn R.",79,17,0,0,0,0,0,0
"190","2010-11","Fall","Chemistry",2,40301,"1","HON GEN CHEM LAB","LAB","Edwards K.",8,7,0,0,0,0,0,0
"191","2010-11","Fall","Chemistry",2,40302,"2","HON GEN CHEM LAB","LAB","Edwards K.",6,14,0,0,0,0,0,0
"192","2010-11","Fall","Chemistry",2,40303,"3","HON GEN CHEM LAB","LAB","Edwards K.",5,15,0,0,0,0,0,0
"193","2010-11","Fall","Chemistry",2,40304,"4","HON GEN CHEM LAB","LAB","Edwards K.",7,11,1,0,0,0,0,0
